reihenfolge,datum,kino_name,alphabet_kino,alphabet_stadt,kino_name_escaped,kino_strasse_nr,kino_plz,kino_stadt,lon,lat,kino_tel,kino_url,kino_url_hyper,kino_info,kino_map,video_url,image,video_id
55,2015-01-22,Kino im Walzenlager,39,54,kino-im-walzenlager-oberhausen,Hansatraße 20,46049,Oberhausen,6.845126,51.475229,020885 97 877,http://www.walzenlagerkino-ob.de,http://www.walzenlagerkino-ob.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Zentrum+Altenberg/@51.475229,6.8451263,17z/data=!3m1!4b1!4m5!3m4!1s0x47b8c024f949d6cb:0xa57a732012ae64d1!8m2!3d51.475229!4d6.847315?hl=en-GB",,,99449458
56,2015-01-25,Thalia Cinema. Coffee & Cigarettes ,69,14,thalia-cinema-dresden,Görlitzer Str. 6,1099,Dresden,13.752026,51.06682,0351 6524703,http://thalia-dresden.de/,http://thalia-dresden.de/,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.de/maps/place/Thalia+-+Cinema,+Coffee+and+Cigarettes/@51.06682,13.752026,17z/data=!3m1!4b1!4m5!3m4!1s0x4709cf3c1b6128c3:0x790548ec4161e82b!8m2!3d51.06682!4d13.7542147",https://vimeo.com/232455770,,87456848
57,2015-01-26,Luchs Kino am Zoo,57,20,luchs-kino-am-zoo-halle,Seebener Straße 172,6114,Halle/Saale,11.95862,51.506457,0345 52 38631,http://www.luchskino.de,http://www.luchskino.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Luchs+Kino+am+Zoo/@51.5064574,11.9586204,17z/data=!3m1!4b1!4m5!3m4!1s0x47a67b4fd264cb23:0x6a9bd98f5b57ec17!8m2!3d51.5064574!4d11.9608091?hl=en-GB",,,173466464
58,2015-01-29,Schauburg,64,34,schauburg-karlsruhe,Marienstr. 16,76137,Karlsruhe,8.405625,49.003547,0721 35 00018,http://www.schauburg.de,http://www.schauburg.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Schauburg+Karlsruhe/@49.0035473,8.4056247,17z/data=!3m1!4b1!4m5!3m4!1s0x479706474d79b68b:0x5a4d96bb6c320d8e!8m2!3d49.0035473!4d8.4078134?hl=en-GB",,,173455565
59,2015-01-30,Lichtspiele,56,49,lichtspiele-moessingen,Höfgasse 12,72116,Mössingen,9.061215,48.410377,07473 21416,http://lichtspiele.wp.aqidos-easyweb.de/,http://lichtspiele.wp.aqidos-easyweb.de/,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.de/maps/place/Lichtspiele+M%C3%B6ssingen/@48.4103771,9.0612146,17z/data=!3m1!4b1!4m5!3m4!1s0x41096d1f0b3024f1:0xa16067dfe2587564!8m2!3d48.4103771!4d9.0634033",https://vimeo.com/232484710,,173363476
60,2015-02-01,Filmburg,18,45,filmburg-marktoberdorf,Gschwenderstraße 7,87616,Marktoberdorf,10.614891,47.77982,08342 916683,http://www.filmburg.de,http://www.filmburg.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Filmburg+-+Das+Theaterkino/@47.77982,10.6148913,17z/data=!3m1!4b1!4m5!3m4!1s0x479c68fb20521d1f:0x3b5e7ab669cc70aa!8m2!3d47.77982!4d10.61708?hl=en-GB",,,140768825
61,2015-02-26,Kino in der Basiskulturfabrik,40,52,kino-in-der-basiskulturfabrik-neustrelitz,Sandberg 3,17235,Neustrelitz,13.056279,53.367772,039812031 45,http://www.basiskulturfabrik.de/kino/programm.html,http://www.basiskulturfabrik.de/kino/programm.html,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Alte+Kachelofenfabrik/@53.367772,13.0562786,17z/data=!3m1!4b1!4m5!3m4!1s0x47a95ff8f1321c09:0x34121aafa6f96699!8m2!3d53.367772!4d13.0584673?hl=en-GB",,,140730510
62,2015-03-17,Kino Achteinhalb,32,64,kino-achteinhalb-saarbruecken,Nauwieserstr. 19,66111,Saarbrücken,6.998898,49.235667,0681 3 9088 80,http://kinoachteinhalb.de,http://kinoachteinhalb.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Kino+Achteinhalb/@49.2356673,6.9988975,17z/data=!3m1!4b1!4m5!3m4!1s0x4795b6a738bf3e43:0xd3bf9689fe0354c!8m2!3d49.2356673!4d7.0010862?hl=en-GB",,,136435473
63,2015-03-18,Kommunales Kino,49,73,kommunales-kino-weiterstadt,Carl-Ulrich-Straße 9,64331,Weiterstadt,8.582557,49.907022,0615 012185,http://www.kino-weiterstadt.de,http://www.kino-weiterstadt.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Kommunales+Kino+Weiterstadt/@49.9070218,8.5825569,17z/data=!3m1!4b1!4m5!3m4!1s0x47bd7728a6719773:0x2818cc91c87fc1a7!8m2!3d49.9070218!4d8.5847456?hl=en-GB",,,134409421
64,2015-04-24,Filmclub 813,19,39,filmclub-813-koeln,Hahnenstraße 6,50667,Köln,6.941758,50.936117,0221 3106813,http://filmclub-813.de,http://filmclub-813.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Film+Club+813+e.V./@50.9361169,6.9417575,17z/data=!3m1!4b1!4m5!3m4!1s0x47bf25aa05e93895:0xbbb7d7aebec13012!8m2!3d50.9361169!4d6.9439462?hl=en-GB",,,133146010
65,2015-05-19,Kino im Waldhorn,38,63,kino-im-waldhorn-rottenburg,Königstraße 12,72108,Rottenburg am Neckar,8.932144,48.47789,07472 22888,http://www.kinowaldhorn.de/,http://www.kinowaldhorn.de/,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.de/maps/place/Kino+im+Waldhorn/@48.47789,8.9321443,17z/data=!3m1!4b1!4m5!3m4!1s0x4799fc4b58b9aeed:0xcb8049cede64c528!8m2!3d48.47789!4d8.934333",https://vimeo.com/232467016,,130017082
66,2015-06-02,Kommunales Kino,50,4,kommunales-kino-bad-schwartau,Haydnring 32,23611,Bad Schwartau,10.683461,53.92604,NA,http://koki-bad-schwartau.de,http://koki-bad-schwartau.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Haydnring+32,+23611+Bad+Schwartau,+Germany/@53.92604,10.6834613,17z/data=!3m1!4b1!4m5!3m4!1s0x47b20c9ca95e3715:0x52a15c5e8c166ce3!8m2!3d53.92604!4d10.68565?hl=en-GB",,,123323317
67,2015-06-17,Medienhaus,59,28,medienhaus-hannover,Schwarzer Bär 6,30449,Hannover,9.716995,52.36813,0511 441440,http://medienhaus-hannover.de,http://medienhaus-hannover.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Medienhaus+Hannover+e.V./@52.3681301,9.716995,17z/data=!3m1!4b1!4m5!3m4!1s0x47b0749544ca813b:0x857f3956f0baa6e7!8m2!3d52.3681301!4d9.7191837?hl=en-GB",,,105220220
68,2015-06-23,B-Movie,4,23,b-movie-hamburg,Brigittenstr. 5,20259,Hamburg,9.959122,53.554349,040 43058 67,https://www.b-movie.de,https://www.b-movie.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/B-Movie/@53.554349,9.9591224,17z/data=!3m1!4b1!4m5!3m4!1s0x47b18f6ec1693fdf:0xe3ed63aa35911c76!8m2!3d53.554349!4d9.9613111?hl=en-GB",,,99451997
69,2015-07-21,Künstlerhaus Vorwerkstift,52,24,vorwerkstift-hamburg,Vorwerkstr. 21,20357,Hamburg,9.968111,53.55943,NA,http://vorwerkstift.de,http://vorwerkstift.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Vorwerk+Stift/@53.55943,9.9681114,17z/data=!3m1!4b1!4m5!3m4!1s0x47b18f6a90f6cf69:0x94923fce001df22d!8m2!3d53.55943!4d9.9703001?hl=en-GB",,,99449458
70,2015-08-13,Filmclub Nebel,20,51,filmclub-nebel-amrum,NA,NA,Nebel / Amrum,8.394832,54.62824,NA,NA,NA,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Wittd%C3%BCn(Amrum)/@54.6282395,8.3948316,17.07z/data=!4m13!1m7!3m6!1s0x47b4fa961eb84031:0x143979dd46f00a66!2s25946+Nebel,+Germany!3b1!8m2!3d54.6502417!4d8.347468!3m4!1s0x47b4f06088c72f31:0xe90c93f08901c25b!8m2!3d54.6291581!4d8.3977718?hl=en-GB",,,87456848
71,2015-09-19,Kunstverein Neckar-Odenwald,53,48,kunstverein-mosbach,Unterm Haubenstein 9,74821,Mosbach,9.144347,49.360053,062 6193 98 50,http://www.kunstverein-neckar-odenwald.de/index.html,http://www.kunstverein-neckar-odenwald.de/index.html,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Unterm+Haubenstein+9,+74821+Mosbach,+Germany/@49.3600533,9.1443466,17z/data=!3m1!4b1!4m5!3m4!1s0x4797f56e04f57099:0x6cf55b58f2a010b4!8m2!3d49.3600533!4d9.1465353?hl=en-GB",,,173466464
72,2015-10-14,Café Hej Papa,9,25,cafe-hej-papa-hamburg,Poolstr. 32,20355,Hamburg,9.977529,53.554272,040 66872747,http://hej-papa.de,http://hej-papa.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/hejpapa/@53.554272,9.9775293,17z/data=!3m1!4b1!4m5!3m4!1s0x47b18f16b1797afd:0xff7c6d473be7d4b9!8m2!3d53.554272!4d9.979718?hl=en-GB",,,173455565
